sigla,idpozo,area,cod_area,empresa,yacimiento,cod_yacimiento,formacion,cuenca,provincia,cota,profundidad,clasificacion,subclasificacion,tipo_recurso,sub_tipo_recurso,gasplus,tipopozo,tipoextraccion,tipoestado,adjiv_fecha_inicio_perf,adjiv_fecha_fin_perf,adjiv_fecha_inicio_term,adjiv_fecha_fin_term,geojson,geom
JCa.-23,33905,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,529,4008,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.600211000000002,-23.639468999999998]}",0101000020E6100000C4EC65DB692650C04ACE893DB4A337C0
JCa.-24,33906,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,534,3398,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,En Estudio,,,,,"{""type"":""Point"",""coordinates"":[-64.605699999999999,-23.637713999999999]}",0101000020E6100000FBCBEEC9C32650C08B33863941A337C0
JCa.-30,33907,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,502,3935,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.598507999999995,-23.646058]}",0101000020E61000003D997FF44D2650C0B5519D0E64A537C0
JCa.-32,34531,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,566,3315,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.596018999999998,-23.628471999999999]}",0101000020E6100000DB32E02C252650C0A3737E8AE3A037C0
JCa-34,34532,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,535,3335,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.603250000000003,-23.644333]}",0101000020E6100000F853E3A59B2650C0CBBBEA01F3A437C0
JCa.-36,34534,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,561,3417,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,En Estudio,,,,,"{""type"":""Point"",""coordinates"":[-64.604782999999998,-23.625371999999999]}",0101000020E6100000508BC1C3B42650C088D51F6118A037C0
JCa.-37,34535,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,530,3963,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.597744000000006,-23.630891999999999]}",0101000020E610000056D80C70412650C0DB4E5B2382A137C0
JCa.-38,34536,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,553,3980,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.595416999999998,-23.637633000000001]}",0101000020E6100000E09EE74F1B2650C0B2D991EA3BA337C0
JCa.-39,34537,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,582,4000,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.599586000000002,-23.634992]}",0101000020E6100000ED48F59D5F2650C0BD38F1D58EA237C0
JCa.-40,34538,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,491,3950,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.598161000000005,-23.642219000000001]}",0101000020E6100000882F1345482650C0ADDEE17668A437C0
