SIGLA,IDENTIFICA,EMPRESA,AREA,YACIMIENTO,FORMACION,CUENCA_1,PROVINCIA,COTA,PROFUNDIDA,CLASIFICAC,SUBCLASIFI,TIPO_RECUR,SUB_TIPO_R,GASPLUS,TIPO_POZO,TIPO_EXTRA,TIPO_ESTAD,FECHA_INIC,FECHA_FIN_,ASFECHA_IN,FECHA_F_01,CUENCA_2,TIPO,UBICACION,GEOJSON,geometry
YPF.Md.CD-44,122418,YPF S.A.,VIZCACHERAS (VIZ),CAÑADA DURA (Z068),barrancas,CUYANA,Mendoza,975 m,2224 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,2001-12-02,2001-12-20,2001-12-24,2002-01-08,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.5189999 -33.49766349)
AS.Md.Vi-1005,122419,YPF S.A.,VIZCACHERAS (VIZ),VIZCACHERAS (VIZ),barrancas,CUYANA,Mendoza,860.83 m,1957 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Electrosumergible,A Abandonar,1992-11-12,1992-11-25,1992-12-01,1992-12-04,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.39894167 -33.56484661)
AS.Md.VM-241,122420,YPF S.A.,LA VENTANA (LAV),VACAS MUERTAS (Z360),rio blanco,CUYANA,Mendoza,1053.43 m,2605 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,En Reserva para Recup. Sec./Asist.,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.57427172 -33.51190877)
AS.Md.VM-242,122421,YPF S.A.,LA VENTANA (LAV),VACAS MUERTAS (Z360),rio blanco,CUYANA,Mendoza,1047.07 m,2585 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,En Estudio,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.57157766 -33.51934934)
AS.Md.RT-2,122422,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,742.93 m,2424 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.70331271 -33.2761983)
AS.Md.RT-3,122423,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,762.74 m,2423 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.70335007 -33.29085728)
AS.Md.RT-4,122424,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,744.36 m,2417 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Bombeo Mecánico,Extracción Efectiva,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.70092439 -33.28167269)
AS.Md.RT-5,122425,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,743.34 m,2430 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.70364148 -33.27909287)
AS.Md.RT-6,122426,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,745.08 m,2416 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.70741068 -33.28243215)
AS.Md.RT-7,122427,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,743.95 m,2653 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Bombeo Mecánico,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.7058171 -33.28623787)
